Year,Sex,Fatal,Age,Moment
2015.0,F,N,12.0,Afternoon
2015.0,F,N,,
2015.0,F,N,13.0,Afternoon
2015.0,M,N,11.0,Morning
2015.0,F,N,17.0,
2015.0,M,N,47.0,Afternoon
2015.0,F,N,14.0,Afternoon
2015.0,F,N,19.0,Afternoon
2015.0,M,N,19.0,Morning
2015.0,F,N,13.0,
2015.0,M,N,18.0,Morning
2015.0,M,N,30.0,Afternoon
2015.0,M,Y,50.0,
2015.0,M,N,,Afternoon
2015.0,M,N,29.0,Afternoon
2015.0,F,Y,65.0,Morning
2015.0,M,N,63.0,Afternoon
2015.0,M,N,26.0,Morning
2015.0,M,N,71.0,Morning
2015.0,M,N,48.0,
2015.0,M,Y,13.0,Morning
2015.0,M,N,,Morning
2015.0,M,N,70.0,Afternoon
2015.0,M,,43.0,
2015.0,M,,23.0,Morning
2015.0,M,N,36.0,
2015.0,M,Y,52.0,
2015.0,M,N,58.0,Morning
2015.0,M,N,9.0,Morning
2015.0,M,N,36.0,Morning
2015.0,M,N,1.0,
2015.0,,N,,
2015.0,F,Y,22.0,Evening
2015.0,M,Y,41.0,Morning
2015.0,M,N,35.0,Morning
2015.0,M,N,57.0,Night
2015.0,M,N,20.0,Night
2015.0,M,N,24.0,Afternoon
2015.0,F,,,
2015.0,M,N,,Afternoon
2015.0,M,N,17.0,
2015.0,M,,38.0,Night
2015.0,F,N,34.0,Afternoon
2015.0,M,N,15.0,Morning
2015.0,M,N,12.0,Afternoon
2014.0,,N,,Morning
2014.0,M,Y,17.0,Morning
2014.0,,N,,
2014.0,,,,Morning
2014.0,M,N,50.0,Morning
2014.0,M,N,45.0,Morning
2014.0,M,N,,
2014.0,M,Y,17.0,Morning
2014.0,M,N,,Morning
2014.0,M,N,13.0,Morning
2014.0,M,Y,39.0,
2014.0,M,N,44.0,Afternoon
2014.0,M,N,53.0,Afternoon
2014.0,M,N,,Morning
2014.0,M,N,18.0,Afternoon
2014.0,F,N,34.0,Morning
2014.0,M,N,20.0,Evening
2014.0,F,N,,Morning
2014.0,M,N,,Morning
2014.0,F,N,,
2014.0,M,N,,Morning
2014.0,F,N,13.0,Morning
2014.0,F,N,7.0,
2014.0,F,N,,Afternoon
2014.0,M,N,,Afternoon
2014.0,M,N,29.0,Morning
2014.0,F,N,40.0,Afternoon
2014.0,M,N,15.0,Morning
2014.0,M,N,,Afternoon
2014.0,M,N,,Morning
2014.0,M,N,28.0,Afternoon
2014.0,M,N,23.0,Morning
2014.0,F,N,36.0,
2014.0,M,,,Evening
2014.0,M,Y,50.0,Morning
2014.0,M,N,43.0,Afternoon
2014.0,F,N,25.0,Evening
2014.0,M,N,52.0,Evening
2014.0,M,N,16.0,
2014.0,F,N,13.0,Afternoon
2014.0,M,N,17.0,
2014.0,,,,Afternoon
2014.0,M,N,33.0,
2014.0,F,N,35.0,
2014.0,M,N,29.0,
2014.0,F,N,,Afternoon
2014.0,M,N,31.0,
2014.0,M,N,,Morning
2014.0,M,N,26.0,
2014.0,F,N,10.0,Afternoon
2014.0,M,N,7.0,Afternoon
2014.0,M,N,10.0,Afternoon
2014.0,F,N,45.0,
2014.0,M,N,55.0,
2014.0,M,N,8.0,Afternoon
2014.0,M,N,20.0,Afternoon
2014.0,M,,,
2014.0,M,N,15.0,
2014.0,M,N,51.0,Afternoon
2014.0,M,N,8.0,Afternoon
2014.0,M,N,61.0,Afternoon
2014.0,M,N,39.0,Afternoon
2014.0,M,,63.0,Night
2014.0,M,N,14.0,Afternoon
2014.0,M,N,,Morning
2014.0,M,N,,Morning
2014.0,M,N,19.0,Evening
2014.0,M,N,48.0,
2014.0,M,N,42.0,Afternoon
2014.0,M,N,,Afternoon
2014.0,M,N,15.0,Afternoon
2014.0,M,N,43.0,
2014.0,M,N,16.0,Afternoon
2014.0,M,N,39.0,Morning
2014.0,M,N,43.0,Afternoon
2014.0,F,N,14.0,Afternoon
2014.0,F,N,22.0,Afternoon
2014.0,M,N,,Morning
2014.0,F,N,37.0,
2014.0,F,N,29.0,
2014.0,M,N,10.0,
2014.0,F,N,38.0,Morning
2014.0,M,N,35.0,Morning
2014.0,F,N,44.0,Morning
2014.0,M,N,12.0,
2014.0,F,N,40.0,Afternoon
2014.0,M,N,23.0,Afternoon
2014.0,M,N,42.0,Afternoon
2014.0,M,N,25.0,Morning
2014.0,M,N,15.0,Afternoon
2014.0,M,N,15.0,Afternoon
2014.0,F,Y,63.0,Morning
2014.0,M,,38.0,Afternoon
2014.0,M,Y,66.0,Afternoon
2014.0,M,N,9.0,
2014.0,M,N,42.0,Afternoon
2014.0,M,N,42.0,Morning
2014.0,F,,10.0,Afternoon
2014.0,M,N,,Evening
2014.0,M,N,21.0,
2014.0,M,N,21.0,Afternoon
2014.0,M,N,21.0,Night
2014.0,M,Y,28.0,Afternoon
2014.0,M,N,28.0,Evening
2014.0,M,N,24.0,
2013.0,M,N,37.0,Morning
2013.0,M,N,19.0,Morning
2013.0,M,N,35.0,
2013.0,M,N,29.0,Morning
2013.0,M,N,30.0,Afternoon
2013.0,M,N,26.0,Evening
2013.0,M,Y,57.0,Morning
2013.0,M,Y,19.0,Afternoon
2013.0,F,N,58.0,Afternoon
2013.0,M,Y,35.0,Morning
2013.0,M,N,25.0,Morning
2013.0,M,N,,Afternoon
2013.0,M,N,77.0,Morning
2013.0,M,N,16.0,Afternoon
2013.0,M,N,,
2013.0,M,N,46.0,Afternoon
2013.0,F,N,60.0,Afternoon
2013.0,M,N,24.0,Afternoon
2013.0,M,N,,Morning
2013.0,M,N,41.0,Evening
2013.0,M,N,45.0,Afternoon
2013.0,M,N,25.0,Morning
2013.0,M,N,6.0,Afternoon
2013.0,M,Y,74.0,Morning
2013.0,M,N,55.0,Morning
2013.0,M,N,45.0,Morning
2013.0,M,N,12.0,Afternoon
2013.0,M,N,50.0,Morning
2013.0,M,N,27.0,Morning
2013.0,M,N,7.0,Morning
2013.0,M,N,45.0,Afternoon
2013.0,M,N,,Morning
2013.0,M,N,21.0,Afternoon
2013.0,F,N,13.0,Afternoon
2013.0,F,,,
2013.0,M,N,43.0,Afternoon
2013.0,M,N,25.0,Afternoon
2013.0,M,N,17.0,Afternoon
2013.0,M,N,3.0,
2013.0,M,N,9.0,Afternoon
2013.0,M,N,,Evening
2013.0,F,,47.0,
2013.0,M,N,50.0,Evening
2013.0,F,N,11.0,Afternoon
2013.0,M,N,16.0,Afternoon
2013.0,F,N,,Afternoon
2013.0,F,Y,20.0,Afternoon
2013.0,F,N,19.0,Afternoon
2013.0,M,N,10.0,Afternoon
2013.0,M,N,17.0,Afternoon
2013.0,F,N,56.0,Morning
2013.0,M,N,32.0,
2013.0,M,N,40.0,Afternoon
2013.0,F,N,,Morning
2013.0,M,N,18.0,Afternoon
2013.0,M,N,64.0,Afternoon
2013.0,M,N,50.0,Morning
2013.0,F,Y,18.0,Afternoon
2013.0,F,N,50.0,Afternoon
2013.0,M,N,15.0,
2013.0,F,Y,15.0,Afternoon
2013.0,M,Y,33.0,
2013.0,F,N,63.0,Afternoon
2013.0,M,,48.0,
2013.0,M,N,29.0,
2013.0,M,,20.0,
2013.0,M,N,,Afternoon
2013.0,M,N,14.0,Afternoon
2013.0,M,N,28.0,Afternoon
2013.0,M,N,15.0,Afternoon
2013.0,F,N,,
2013.0,F,N,10.0,Afternoon
2013.0,M,N,58.0,
2013.0,M,N,,Afternoon
2013.0,M,N,11.0,Afternoon
2013.0,M,Y,41.0,
2013.0,M,N,30.0,Evening
2013.0,M,N,29.0,Afternoon
2013.0,M,,42.0,
2013.0,M,Y,36.0,Morning
2013.0,M,N,16.0,Morning
2013.0,F,N,34.0,Afternoon
2013.0,M,N,51.0,Afternoon
2013.0,M,N,9.0,Morning
2013.0,M,N,21.0,Afternoon
2013.0,M,Y,40.0,
2013.0,M,N,53.0,Afternoon
2013.0,M,N,50.0,
2013.0,M,,24.0,
2013.0,M,N,58.0,Morning
2013.0,M,,47.0,
2013.0,M,N,34.0,
2013.0,M,N,30.0,Morning
2013.0,M,Y,68.0,Morning
2013.0,M,N,28.0,Morning
2013.0,M,N,28.0,
2013.0,M,N,39.0,
2013.0,M,Y,46.0,Afternoon
2013.0,,N,,Evening
2013.0,M,N,,Evening
2013.0,M,N,16.0,Afternoon
2013.0,M,N,48.0,Morning
2013.0,M,N,18.0,
2013.0,M,,62.0,
2013.0,M,N,43.0,Afternoon
2013.0,M,N,26.0,Morning
2012.0,M,N,,Afternoon
2012.0,M,N,23.0,Afternoon
2012.0,M,N,29.0,Morning
2012.0,M,Y,20.0,
2012.0,M,N,32.0,Morning
2012.0,M,N,60.0,Afternoon
2012.0,M,N,31.0,Afternoon
2012.0,F,N,25.0,
2012.0,M,N,61.0,Morning
2012.0,M,,20.0,Afternoon
2012.0,M,Y,32.0,Morning
2012.0,M,N,14.0,Afternoon
2012.0,M,N,30.0,Morning
2012.0,M,N,43.0,Morning
2012.0,M,N,25.0,Afternoon
2012.0,F,N,51.0,Afternoon
2012.0,M,Y,39.0,Morning
2012.0,F,N,35.0,
2012.0,M,N,24.0,Morning
2012.0,M,N,55.0,Morning
2012.0,M,,,Afternoon
2012.0,F,N,38.0,
2012.0,M,N,42.0,Evening
2012.0,M,N,11.0,Afternoon
2012.0,M,N,21.0,Afternoon
2012.0,M,N,22.0,Afternoon
2012.0,M,N,52.0,Afternoon
2012.0,F,N,29.0,
2012.0,,N,19.0,Afternoon
2012.0,M,N,,Afternoon
2012.0,M,N,35.0,Morning
2012.0,M,N,37.0,Morning
2012.0,M,N,32.0,Morning
2012.0,F,N,8.0,Evening
2012.0,,N,,Afternoon
2012.0,F,N,56.0,Afternoon
2012.0,M,N,53.0,
2012.0,M,N,34.0,Afternoon
2012.0,M,Y,18.0,Afternoon
2012.0,M,N,31.0,
2012.0,M,N,56.0,Afternoon
2012.0,M,N,39.0,Afternoon
2012.0,M,N,,
2012.0,M,N,17.0,Morning
2012.0,M,N,48.0,Afternoon
2012.0,M,N,44.0,Afternoon
2012.0,M,N,50.0,Afternoon
2012.0,M,,12.0,Morning
2012.0,M,Y,22.0,Afternoon
2012.0,M,,24.0,
2012.0,F,,23.0,
2012.0,M,Y,24.0,Morning
2012.0,F,N,43.0,Afternoon
2012.0,F,,42.0,Afternoon
2012.0,M,N,52.0,Morning
2012.0,M,N,29.0,Afternoon
2012.0,,,60.0,
2012.0,M,N,6.0,Evening
2012.0,M,N,26.0,Afternoon
2012.0,F,N,16.0,Morning
2012.0,M,N,12.0,Afternoon
2012.0,M,N,62.0,Morning
2012.0,M,,16.0,
2012.0,F,N,6.0,Morning
2012.0,M,N,23.0,Afternoon
2012.0,F,N,18.0,Afternoon
2012.0,M,N,16.0,Afternoon
2012.0,M,N,42.0,Morning
2012.0,M,,57.0,Morning
2012.0,M,N,30.0,Afternoon
2012.0,F,N,12.0,
2012.0,M,N,25.0,Evening
2012.0,F,N,33.0,Afternoon
2012.0,M,N,46.0,Morning
2012.0,M,N,22.0,Afternoon
2012.0,M,N,,Morning
2012.0,M,N,20.0,
2012.0,F,N,47.0,Morning
2012.0,F,N,15.0,Morning
2012.0,M,N,28.0,Evening
2012.0,M,Y,20.0,Afternoon
2012.0,M,N,27.0,
2012.0,M,N,28.0,Afternoon
2012.0,M,Y,33.0,Morning
2012.0,M,N,21.0,Afternoon
2012.0,,N,,Night
2012.0,M,N,20.0,Afternoon
2012.0,M,N,61.0,Afternoon
2012.0,F,N,15.0,Afternoon
2012.0,M,N,17.0,Afternoon
2012.0,M,N,,Evening
2012.0,F,N,34.0,Morning
2012.0,M,N,31.0,Afternoon
2012.0,M,N,19.0,Afternoon
2012.0,M,,42.0,
2012.0,M,N,,Afternoon
2012.0,,N,,
2012.0,M,N,29.0,Afternoon
2012.0,,N,,Morning
2012.0,M,N,26.0,Afternoon
2012.0,M,N,24.0,
2012.0,M,N,44.0,Afternoon
2012.0,M,Y,25.0,Afternoon
2012.0,M,N,28.0,Evening
2012.0,M,N,34.0,Morning
2011.0,M,N,,Evening
2011.0,M,,,Morning
2011.0,M,N,23.0,Evening
2011.0,M,N,27.0,Afternoon
2011.0,M,N,,
2011.0,M,N,35.0,Morning
2011.0,M,N,51.0,Night
2011.0,M,,,
2011.0,M,N,14.0,
2011.0,F,N,,Morning
2011.0,,,,
2011.0,M,N,63.0,Morning
2011.0,M,N,18.0,Afternoon
2011.0,M,N,10.0,Afternoon
2011.0,M,N,35.0,
2011.0,M,N,42.0,Morning
2011.0,M,N,27.0,
2011.0,M,N,26.0,
2011.0,,N,,
2011.0,M,Y,32.0,Afternoon
2011.0,M,N,41.0,
2011.0,M,N,50.0,Afternoon
2011.0,M,Y,64.0,Morning
2011.0,M,N,51.0,Morning
2011.0,M,N,,Afternoon
2011.0,M,N,29.0,
2011.0,M,,27.0,Morning
2011.0,M,N,48.0,
2011.0,M,N,43.0,Afternoon
2011.0,M,N,21.0,Afternoon
2011.0,M,N,5.0,Morning
2011.0,M,N,,Afternoon
2011.0,M,Y,38.0,Afternoon
2011.0,M,Y,17.0,
2011.0,M,N,25.0,Morning
2011.0,M,N,37.0,Afternoon
2011.0,M,N,30.0,Afternoon
2011.0,,N,,Afternoon
2011.0,M,Y,21.0,Afternoon
2011.0,M,N,19.0,Morning
2011.0,M,,48.0,Evening
2011.0,F,N,39.0,Evening
2011.0,M,N,,Morning
2011.0,M,N,21.0,
2011.0,M,N,10.0,Afternoon
2011.0,M,Y,49.0,Morning
2011.0,M,N,16.0,
2011.0,F,N,25.0,Afternoon
2011.0,M,,12.0,Afternoon
2011.0,M,N,25.0,Evening
2011.0,M,N,32.0,Afternoon
2011.0,M,N,27.0,Night
2011.0,M,Y,30.0,Afternoon
2011.0,M,N,7.0,
2011.0,M,N,54.0,Afternoon
2011.0,M,Y,36.0,Afternoon
2011.0,M,,14.0,
2011.0,M,N,43.0,
2011.0,M,N,,Night
2011.0,M,N,29.0,Morning
2011.0,F,N,6.0,Afternoon
2011.0,M,N,,Afternoon
2011.0,M,N,,Evening
2011.0,M,N,54.0,Afternoon
2011.0,M,N,12.0,Afternoon
2011.0,M,N,16.0,Afternoon
2011.0,M,N,17.0,Morning
2011.0,M,N,28.0,Afternoon
2011.0,M,N,21.0,Morning
2011.0,M,N,22.0,Afternoon
2011.0,F,N,10.0,Afternoon
2011.0,M,N,,Afternoon
2011.0,M,N,20.0,Afternoon
2011.0,M,Y,15.0,Afternoon
2011.0,M,Y,31.0,Afternoon
2011.0,M,N,28.0,Afternoon
2011.0,M,N,24.0,
2011.0,M,N,28.0,
2011.0,M,N,19.0,Afternoon
2011.0,F,N,,
2011.0,F,N,22.0,Afternoon
2011.0,M,N,33.0,
2011.0,F,N,,Afternoon
2011.0,F,N,,Afternoon
2011.0,M,Y,28.0,Afternoon
2011.0,M,N,86.0,Afternoon
2011.0,M,Y,15.0,Morning
2011.0,M,N,37.0,Morning
2011.0,M,,43.0,
2011.0,M,N,37.0,
2011.0,M,N,32.0,
2011.0,M,N,17.0,Afternoon
2011.0,M,N,49.0,Afternoon
2011.0,M,N,41.0,Afternoon
2011.0,M,N,27.0,Afternoon
2011.0,M,N,48.0,Afternoon
2011.0,M,N,46.0,
2011.0,M,N,30.0,Afternoon
2011.0,F,N,24.0,Afternoon
2011.0,F,,,
2011.0,M,N,36.0,Morning
2011.0,M,N,21.0,Afternoon
2011.0,M,N,32.0,Evening
2011.0,M,Y,49.0,Evening
2011.0,M,N,,Morning
2011.0,M,N,58.0,Afternoon
2011.0,F,N,38.0,Afternoon
2011.0,M,N,25.0,
2011.0,M,N,55.0,Afternoon
2011.0,F,,7.0,Afternoon
2011.0,M,Y,16.0,Afternoon
